track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views
Overdrive,Post Malone,1,2023,7,14,410,36,14780425,36,32,140,Major,56,48,73,0,0,35,4,Overdrive,Overdrive,Post Malone,7/14/2023,USUM72306020,"3,669",22.4,"130,236,751","27,992","6,772,366",63.0,9721972.0,104453.0,21289.0,4910687.0,52127762.0
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,32,93,82,Major,51,22,53,1,0,15,3,Enchanted (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,7/7/2023,USUG12302081,"3,842",21.8,"285,889,664","23,393","21,692,426",75.0,443194213.28134555,4046645.142419602,961638.3856,192319298.00158226,1959827354.2515824
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,42,80,130,Minor,77,84,89,17,0,43,5,BABY HELLO,BABY HELLO - Single,Rauw Alejandro,6/23/2023,USSD12300274,"1,105",45.3,"268,383,799","47,936","46,787,442",68.0,69047745.0,591951.0,23400.0,9362518.0,103169265.0
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,386,144,81,Major,76,53,53,44,0,9,9,Heat Waves,Heat Waves,Glass Animals,6/29/2020,GBUM72000433,71,175.0,"2,996,181,078","486,278","112,416,489",82.0,1272898075.0,14947520.0,1416295.0,513334446.0,5518429969.0
golden hour,JVKE,1,2022,7,15,4511,36,751134527,70,58,94,Minor,51,14,59,65,18,25,3,golden hour,golden hour,JVKE,7/15/2022,GBKPL2204171,183,111.4,"1,126,986,320","200,887","45,885,823",73.0,293553015.0,5388022.0,461623.0,313934124.0,2305840359.0
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485,166,87,124,Major,61,41,81,5,2,10,3,Sweater Weather,I'm Sorry...,The Neighbourhood,1/1/2012,USSM11300080,809,53.9,"2,916,412,507","415,650","149,359,220",85.0,1648485745.0,18338729.0,1248637.0,324536571.0,2911383718.0
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093,94,65,128,Major,62,55,78,1,3,23,4,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,UYB282201028,92,161.7,"1,692,951,462","209,490","88,591,675",78.0,1132539234.0,8795731.0,1212100.0,196608777.0,2054826154.0
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789,233,0,138,Minor,49,42,62,9,0,11,3,Viva La Vida,Meu Pai ï¿½ï¿½ do ,Coldplay,9/21/2005,GBAYE0800265,"2,619",27.5,"2,102,223,775","335,772","128,128,093",80.0,1412127488.0,8707376.0,1619542.0,244469571.0,2264301241.0
Here With Me,d4vd,1,2022,7,17,3246,23,635412045,94,85,132,Major,58,27,48,50,0,12,3,Here With Me,Here With Me,d4vd,7/20/2022,QZMEM2209263,234,101.4,"1,042,311,849","154,178","58,833,842",80.0,256736243.0,2649848.0,2321933.0,467461517.0,3656967030.0
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890,216,108,131,Major,71,24,47,1,0,27,9,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,GBUM72205415,60,189.1,"1,556,275,789","210,583","95,974,138",74.0,254051906.0,3364206.0,2379787.0,683088623.0,7945975878.0
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368,47,74,168,Minor,78,58,73,5,0,10,7,Yandel 150,Yandel 150,Yandel,12/20/2022,QMFMF2215173,247,98.1,"837,576,264","102,545","38,825,844",70.0,472335529.0,1511715.0,632917.0,43022167.0,631781362.0
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,43857627,12,16,98,Major,68,40,79,33,0,30,6,CORAZï¿½ï¿½N VA,CORAZï¿½ï¿½N VA,Maria Becerra,6/22/2023,USWL12301086,"1,094",45.8,"251,442,618","19,913","23,463,750",71.0,209201810.0,958198.0,249263.0,61634866.0,541965678.0
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,300,65,102,Major,48,50,73,43,0,15,4,Riptide,Ministry Of Sound Presents Chillout Sessions XVI,Vance Joy,1/1/2013,AULI01385760,"1,223",42.8,"2,541,833,602","369,150","165,607,442",80.0,533440453.0,4627060.0,856131.0,383809767.0,3108986398.0
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848,60,96,101,Major,34,32,57,78,0,20,3,Until I Found You (with Em Beihold) - Em Beihold Version,Until I Found You (Em Beihold Version),Stephen Sanchez,4/22/2022,USUG12202266,986,48.6,"1,020,452,066","108,274","75,934,462",79.0,114404861.0,1372385.0,228100.0,129184868.0,1013000586.0
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092,9,6,130,Major,63,36,34,76,0,35,9,Novidade na ï¿½ï¿,Novidade na ï¿½ï¿,Mc Livinho,6/23/2023,BCDMP2300045,"2,794",26.6,"191,234,818","26,907","12,302,377",64.0,67753459.0,593702.0,961638.3856,192319298.00158226,1959827354.2515824
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922,492,99,170,Major,59,48,76,4,0,10,5,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,USSM12103949,27,266.3,"3,107,100,349","451,732","134,793,519",78.0,1256973582.0,14661425.0,7485966.0,2246991336.0,23712377029.0
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238,80,75,124,Minor,78,70,68,3,1,11,4,El Merengue,El Merengue - Single,Marshmello,3/3/2023,USSD12300040,510,68.2,"528,420,867","59,791","80,570,021",75.0,211317309.0,842146.0,252314.0,28930444.0,451806178.0
